"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0259821",256.591696518922,1.08328306261271,0.166326421014986,6.51299448399185,7.36672167190937e-11,3.33557402860191e-09
"FBgn0085334",75.018077782482,-1.23246520666097,0.373280882660358,-3.30170995599141,0.000960973843375992,0.0107335897052582
"FBgn0037223",37.0078320042312,-2.08708637649657,0.413687567636988,-5.04507879803629,4.53334501284899e-07,1.25807635953354e-05
"FBgn0037290",101.937192923362,3.07652398037749,0.277079217301836,11.1034093799467,1.2074807000815e-28,2.73367275336872e-26
"FBgn0000071",468.057925667952,2.59213486601001,0.15089347169927,17.1785753009655,3.84232138221193e-66,3.30554908511692e-63
"FBgn0015568",306.13627281028,1.03324455202263,0.168339426638005,6.13786427017187,8.36382735433028e-10,3.31585284466836e-08
"FBgn0266801",314.610805270826,1.15381267297383,0.210172241093733,5.48984331598408,4.02290449865297e-08,1.30109200759066e-06
"FBgn0037635",281.805124702412,-1.02706842804757,0.15388804037682,-6.67412766796319,2.48707042281328e-11,1.24396900275946e-09
"FBgn0037646",60.0029670852898,-2.70699369601494,0.36125777314223,-7.49324692025153,6.71903245155023e-14,5.16105680184702e-12
"FBgn0037678",50.8593837148193,1.76521761773504,0.373995920246198,4.71988468904426,2.35978375423805e-06,5.65493583223119e-05
"FBgn0261552",8903.62977454312,-1.78527022151637,0.146748018898412,-12.1655490473929,4.74245844489188e-34,1.51108777782981e-31
"FBgn0002868",158.212301712193,-2.05078519114162,0.216603168597762,-9.46793717016202,2.85424437967548e-21,3.96049425779808e-19
"FBgn0037754",394.464100332039,-2.31946066375281,0.164514317022614,-14.0988377530327,3.86075774590411e-45,2.37243563485808e-42
"FBgn0051477",62.3499577895835,1.04371852818545,0.301943421021579,3.45666921522644,0.000546895721603428,0.00671200636848787
"FBgn0265276",224.663354981489,1.85411990960778,0.193180462087195,9.59786455408154,8.16178164096399e-22,1.17026345762022e-19
"FBgn0038143",43.8547860644157,1.09187222317533,0.346958672313995,3.14698063574325,0.00164965886598444,0.016696488498899
"FBgn0038149",1500.13264166384,1.0625981553833,0.107721964677316,9.86426638769849,5.9467556076146e-23,9.13570330219793e-21
"FBgn0051337",1398.84123276944,-1.02580997181796,0.12819658923363,-8.00185073526791,1.22562905329269e-15,1.13377276833086e-13
"FBgn0038198",92.4167183825659,2.33657479698729,0.309027028465214,7.56106936209406,3.99768980897496e-14,3.18445605801959e-12
"FBgn0038237",43.4095878061772,-2.21326728306494,0.465653058248202,-4.75303929365631,2.00381385507691e-06,4.89738937364394e-05
"FBgn0038261",44.270576613608,1.54210678169867,0.358425801466408,4.3024435612323,1.6892470847347e-05,0.000330572327579437
"FBgn0263041",161.688908188167,-1.64777420962,0.259707133499939,-6.34473988994372,2.22801560370936e-10,9.53612847697094e-09
"FBgn0038381",211.577355436522,-1.09594731567504,0.188440382596033,-5.81588352017128,6.03144561112832e-09,2.13313727605598e-07
"FBgn0063649",839.904531248908,-1.22630164397264,0.123251113588445,-9.94961918208264,2.53150067102934e-23,4.18817312939719e-21
"FBgn0024491",1266.66880709819,1.03316357711837,0.124361318458362,8.30775670382014,9.75282338651032e-17,9.53449313569867e-15
"FBgn0038484",39.5661294520928,-1.31230001195059,0.401907863072009,-3.26517625686629,0.00109395980369478,0.0120042553459008
"FBgn0038528",230.918983839902,1.385839420032,0.183560151723773,7.54978358329891,4.3598209444994e-14,3.44105867757141e-12
"FBgn0038545",122.58605243658,1.07897454961347,0.220394443284423,4.8956522384779,9.79802045860638e-07,2.55933639140019e-05
"FBgn0038832",429.850329748409,-2.68909673328482,0.179966485226841,-14.9422084333942,1.7507548914937e-50,1.25514536096002e-47
"FBgn0038865",405.781226429883,-1.02502582169105,0.151088866824921,-6.78425778968106,1.16684815170968e-11,6.273996655724e-10
"FBgn0051163",20.5461740303931,1.52712027114572,0.499400935652664,3.05790430518505,0.00222890741505501,0.0217160707720478
"FBgn0039069",48.870417678032,-1.05461807877708,0.348988053803327,-3.02193174604025,0.00251167174611862,0.0239555565763398
"FBgn0039094",23.0313843749987,-1.72749006761216,0.490914112503417,-3.51892525314218,0.00043329876888397,0.00557200195621643
"FBgn0039098",460.720359753625,-1.00593920106413,0.158259776738328,-6.3562531288502,2.06734257725562e-10,8.89267409606504e-09
"FBgn0042106",42.7647985081152,-1.22574623793548,0.408529961246308,-3.00038272394043,0.00269640566112231,0.0254914042886102
"FBgn0039109",663.673672415969,-1.33218814858761,0.127714522163467,-10.4309840887357,1.79024465245697e-25,3.42254994335274e-23
"FBgn0039155",1086.97429520489,-4.60365367832158,0.154360455948336,-29.8240481996399,1.90587286731678e-195,1.63962242775263e-191
"FBgn0039178",23.5500555752701,2.27356032143587,0.521652005385565,4.3583850880731,1.31025688118822e-05,0.000265852357284487
"FBgn0051125",39.2436888730555,1.28967495639292,0.365459406424277,3.52891438480498,0.000417268101161698,0.005406261256467
