"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0267431",1.8514935024292,2.6102304963474,1.95724361936523,1.33362575334079,0.182326538495371,NA
"FBgn0010247",538.69074830488,0.246631315775027,0.195339998929301,1.26257457318964,0.206742110543629,0.528749981831498
"FBgn0086378",677.954223726828,0.155060021372135,0.198667788443323,0.780499056173725,0.435097182865112,0.742610683353058
"FBgn0263977",1191.55465518694,0.220968239888911,0.134001222611043,1.64900167015865,0.0991472925515085,0.345142654179472
"FBgn0069923",20.4183541815756,0.83615132751838,0.517289477206176,1.61640892452393,0.10600593009085,0.358901620059656
"FBgn0039955",741.980819634147,-0.154878735262763,0.147712384317866,-1.04851557286811,0.294401131229166,0.623465301155579
"FBgn0259821",256.591696518922,1.08328306261271,0.166326421014986,6.51299448399185,7.36672167190937e-11,3.33557402860191e-09
"FBgn0027341",17.1787110014076,0.499355485125444,0.550681650908994,0.906795213352711,0.364515101621612,0.688892806408518
"FBgn0085812",1.7313456690362,-0.381984960915278,1.77480206095291,-0.215226795888543,0.82959050033913,NA
"FBgn0058198",50.357272172917,-0.387725455707612,0.324849035848759,-1.19355581491744,0.232651766648961,0.559235302732891
"FBgn0037213",778.17647695425,0.464901834662041,0.137312892161266,3.3857114750452,0.000709939844098228,0.0083665924366809
"FBgn0053294",86.621065670828,-0.0309633782615492,0.305002339800221,-0.101518494191981,0.919138877159174,0.97321480947614
"FBgn0000500",5.37838865146512,1.0200103386983,0.95583076006205,1.06714533714324,0.285906211856326,NA
"FBgn0037215",7195.2309451504,-0.219319528044544,0.0906604991071173,-2.41912994307932,0.0155576814921093,0.097408737596445
"FBgn0037217",75.3413941758847,-0.240415899118097,0.267728798033854,-0.897982962175393,0.369194632878802,0.692748622124038
"FBgn0037218",3162.11896353187,-0.0382192160981352,0.0942906758193611,-0.405333992635224,0.685232023099435,0.885306358052061
"FBgn0051516",23.8305480940551,-0.155336110706047,0.452712345319567,-0.343123204639793,0.731505774869855,0.90729625317253
"FBgn0261436",1092.24736688999,-0.0991905461489454,0.110037734192202,-0.901423015269379,0.367363448928547,0.691559682961114
"FBgn0037220",2217.83697635049,-0.0945483021573796,0.0978722073935294,-0.966038313381604,0.334025009792808,0.663307274811088
"FBgn0015331",1245.35719193134,-0.0185929333496284,0.1058271988618,-0.175691443689339,0.860536357691117,0.95449610924885
"FBgn0010225",19203.8327591978,-0.511990842077618,0.08719841742305,-5.87156117287834,4.31710236869163e-09,1.55397622083072e-07
"FBgn0037222",460.526189891008,-0.662730205622408,0.157467149565251,-4.20868865317071,2.56857025878886e-05,0.000474193346273832
